course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp,subject,date,free_or_paid,free_beginner_courses,revenue
388164,Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,$25.00,2516,12,20,All Levels,0.87,1.5,2015-01-08T13:55:52Z,Business Finance,2015-01-08,paid,Not free beginner,"$62,900.00"
1124280,PHP Tutorial: Learn PHP Basic Programming for Beginners,https://www.udemy.com/php-tutorial-beginners/,$20.00,2510,21,23,All Levels,0.96,1.5,2017-03-08T19:04:55Z,Web Development,2017-03-08,paid,Not free beginner,"$50,200.00"
1024844,"Build A Web App with VueJS, Spring Framework and MongoDB",https://www.udemy.com/build-a-message-board-app-with-vue-spring-and-mongodb/,$145.00,251,32,25,Beginner Level,0.8,3.5,2016-11-30T21:59:37Z,Web Development,2016-11-30,paid,Not free beginner,"$36,395.00"
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,$45.00,2507,333,40,All Levels,0.87,2,2016-05-30T18:53:46Z,Business Finance,2016-05-30,paid,Not free beginner,"$112,815.00"
488818,QuickBooks 2015 Training for Newbies,https://www.udemy.com/free-training-quickbooks-2015/,$200.00,2506,21,76,Beginner Level,0.87,6,2015-05-11T23:16:54Z,Business Finance,2015-05-11,paid,Not free beginner,"$501,200.00"
80844,Beginner Guitar - 38 Easy Lessons You Needs to Get Started,https://www.udemy.com/beginner-guitar-8-lessons-everyone-needs/,$40.00,250,24,39,Intermediate Level,0.02,3,2013-09-05T22:58:33Z,Musical Instruments,2013-09-05,paid,Not free beginner,"$10,000.00"
95176,ChalkTalk: Financial Accounting,https://www.udemy.com/chalk-talk-accounting/,$20.00,25,1,108,All Levels,0.96,3.5,2014-01-23T22:33:18Z,Business Finance,2014-01-23,paid,Not free beginner,$500.00
559328,Cómo usar Metatrader 4 para hacer trading?,https://www.udemy.com/como-usar-metatrader-4-para-hacer-trading/,$20.00,25,1,25,All Levels,0.96,6,2015-07-30T20:57:23Z,Business Finance,2015-07-30,paid,Not free beginner,$500.00
1048182,Coach Guitar - Apprendre la GUITARE facile avec des COULEURS,https://www.udemy.com/coach-guitar-apprendre-la-guitare-facile-avec-des-couleurs/,$50.00,25,1,321,Beginner Level,0.15,3.5,2016-12-27T14:51:32Z,Musical Instruments,2016-12-27,paid,Not free beginner,"$1,250.00"
618334,Instant Harmonica - play jazzy Autumn Leaves now (part one),https://www.udemy.com/instant-harmonica-play-jazzy-autumn-leaves-now-part-one/,$20.00,25,1,10,Beginner Level,0.15,0.65,2015-10-19T18:40:45Z,Musical Instruments,2015-10-19,paid,Not free beginner,$500.00
961774,ABC DO VIOLÃO E GUITARRA,https://www.udemy.com/abc-do-violao-e-guitarra/,$85.00,25,2,30,All Levels,0.15,2.5,2017-03-03T18:54:28Z,Musical Instruments,2017-03-03,paid,Not free beginner,"$2,125.00"
766320,สร้างงานกราฟฟิคแอพพลิเคชั่นมือถือด้วย Adobe Illustrator,https://www.udemy.com/adobe-illustrator-mobile-app-codemobiles-thai/,$20.00,25,5,30,Beginner Level,0.79,9.5,2016-02-25T17:18:41Z,Graphic Design,2016-02-25,paid,Not free beginner,$500.00
1250934,Display and analyze GIS data on the web with Leaflet.js,https://www.udemy.com/display-and-analyze-gis-data-on-the-web/,$100.00,25,4,66,Beginner Level,0.67,12.5,2017-06-15T21:17:43Z,Web Development,2017-06-15,paid,Not free beginner,"$2,500.00"
647338,How To Make Money With A Cover Band,https://www.udemy.com/coverband/,$50.00,2498,12,25,All Levels,0.11,3.5,2017-03-30T22:39:31Z,Musical Instruments,2017-03-30,paid,Not free beginner,"$124,900.00"
642410,The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,$195.00,24978,540,67,All Levels,0.89,7,2015-10-27T20:27:11Z,Web Development,2015-10-27,paid,Not free beginner,"$4,870,710.00"
186096,"Core: A Web App Reference Guide for Django, Python, and More",https://www.udemy.com/coding-for-entrepreneurs-core/,$195.00,2497,98,154,Intermediate Level,0.96,26,2014-05-29T00:58:43Z,Web Development,2014-05-29,paid,Not free beginner,"$486,915.00"
572268,AngularJS For .Net Developers From Scratch,https://www.udemy.com/angularjs-for-dotnet-developers-from-scratch/,$50.00,2494,303,40,All Levels,0.96,4.5,2016-03-09T20:03:42Z,Web Development,2016-03-09,paid,Not free beginner,"$124,700.00"
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,$95.00,2493,276,108,Beginner Level,0.87,9.5,2015-01-31T19:02:09Z,Business Finance,2015-01-31,paid,Not free beginner,"$236,835.00"
317572,Accounting 1 Simplified for You,https://www.udemy.com/accounting-1-simplified-for-you/,$45.00,2490,95,13,All Levels,0.87,3,2014-11-10T03:28:26Z,Business Finance,2014-11-10,paid,Not free beginner,"$112,050.00"
803664,How to invest in Gold,https://www.udemy.com/howtoinvestingold/,$50.00,249,14,39,All Levels,0.3,2.5,2016-06-14T17:10:19Z,Business Finance,2016-06-14,paid,Not free beginner,"$12,450.00"
871358,Financial Modeling and Valuation: Complete Beginner to Pro,https://www.udemy.com/financial-modeling-and-valuation-complete-beginner-to-pro/,$50.00,249,46,28,Beginner Level,0.76,5,2016-06-20T22:09:31Z,Business Finance,2016-06-20,paid,Not free beginner,"$12,450.00"
504168,Learn Flute FAST!,https://www.udemy.com/learn-flute-fast/,$45.00,249,33,61,All Levels,0.02,4,2015-06-02T19:50:16Z,Musical Instruments,2015-06-02,paid,Not free beginner,"$11,205.00"
1087244,Foundation Skills on Adobe Illustrator: Learn Fast!,https://www.udemy.com/foundation_skills_illustrator/,$50.00,2489,39,16,All Levels,0.88,2,2017-03-01T21:54:39Z,Graphic Design,2017-03-01,paid,Not free beginner,"$124,450.00"
1013676,Adobe Illustrator CC 2017 for beginners,https://www.udemy.com/adobe-illustrator-cc-2017/,$195.00,2489,39,12,All Levels,0.74,1.5,2017-01-31T22:13:11Z,Graphic Design,2017-01-31,paid,Not free beginner,"$485,355.00"
629142,The Ultimate Web Developer How To Guide,https://www.udemy.com/learn-web-development-complete-step-by-step-guide-to-success/,$200.00,24861,423,281,Beginner Level,0.85,22.5,2015-11-26T04:31:11Z,Web Development,2015-11-26,paid,Not free beginner,"$4,972,200.00"
178044,How To Make Graphics For A Website,https://www.udemy.com/how-to-make-graphics-for-a-website/,$200.00,24857,35,11,All Levels,0.89,1.5,2014-03-15T21:53:19Z,Graphic Design,2014-03-15,paid,Not free beginner,"$4,971,400.00"
936884,Free Options 101 - Basic of Call and Put Options in 1 Hours,https://www.udemy.com/free-options-101-basic-of-call-and-put-options-in-1-hours/,$0.00,2481,71,26,Expert Level,0.87,1.5,2016-08-22T18:10:12Z,Business Finance,2016-08-22,free,Not free beginner,$0.00
441996,Bones of the Blues - learn 4 cool tunes to expert level now!,https://www.udemy.com/bones-of-the-blues/,$200.00,248,9,21,Beginner Level,0.02,2,2015-03-09T21:31:38Z,Musical Instruments,2015-03-09,paid,Not free beginner,"$49,600.00"
501140,Illustrator CC para novatos: ¡desde cero hasta experto!,https://www.udemy.com/illustrator-cc-para-novatos-desde-cero-hasta-experto/,$150.00,2476,466,96,Beginner Level,0.1,11,2015-12-29T20:10:55Z,Graphic Design,2015-12-29,paid,Not free beginner,"$371,400.00"
537878,CFA Corporate Finance Level 2,https://www.udemy.com/advanced-capital-budgeting-techniques/,$50.00,2474,6,128,Beginner Level,0.87,17.5,2015-07-07T20:35:21Z,Business Finance,2015-07-07,paid,Not free beginner,"$123,700.00"
380092,HTML & CSS for beginners: Build 3 projects from scratch,https://www.udemy.com/learn-html-css-by-building-3-real-projects/,$40.00,2472,139,31,Intermediate Level,0.96,4,2015-01-22T06:47:09Z,Web Development,2015-01-22,paid,Not free beginner,"$98,880.00"
654832,HTML Forms For Beginners: A Basic Introduction,https://www.udemy.com/html-forms-for-beginners-a-basic-introduction/,$45.00,2472,41,8,Intermediate Level,0.96,1,2015-11-05T17:49:01Z,Web Development,2015-11-05,paid,Not free beginner,"$111,240.00"
617886,Learn Rails Programming in Less than 2 Hours,https://www.udemy.com/learn-rails-programming-in-less-than-2-hours/,$35.00,2470,24,19,All Levels,0.96,2.5,2015-09-23T02:21:50Z,Web Development,2015-09-23,paid,Not free beginner,"$86,450.00"
504620,Mortgage Acceleration,https://www.udemy.com/mortgage-acceleration/,$20.00,247,2,17,Intermediate Level,0.09,1.5,2015-08-21T18:36:25Z,Business Finance,2015-08-21,paid,Not free beginner,"$4,940.00"
22445,Learn to Design a Letterhead - A Beginners Course,https://www.udemy.com/learn-to-design-a-letterhead/,$0.00,24687,423,13,All Levels,0.11,0.7333333333,2012-10-10T23:34:55Z,Graphic Design,2012-10-10,free,Not free beginner,$0.00
1134456,"Create a Simple Photo Gallery with Dropzonejs, Slick and PHP",https://www.udemy.com/create-a-simple-photo-gallery-with-dropzonejs-slick-and-php/,$0.00,2464,17,9,All Levels,0.96,0.7333333333,2017-03-07T15:40:37Z,Web Development,2017-03-07,free,Not free beginner,$0.00
657130,"Trading Mindset, and Three Steps To Profitable Trading",https://www.udemy.com/trading-mindset-steps-to-profitable-trading/,$20.00,246,8,24,All Levels,0.33,1.5,2015-11-02T20:13:05Z,Business Finance,2015-11-02,paid,Not free beginner,"$4,920.00"
682060,Calligraphy for Beginners: Creating Strong Lines,https://www.udemy.com/calligraphy-for-beginners-creating-strong-lines/,$40.00,246,30,12,Beginner Level,0.44,0.6833333333,2016-03-03T20:58:21Z,Graphic Design,2016-03-03,paid,Not free beginner,"$9,840.00"
18448,Learning CSS3 - A Comprehensive Tutorial For Web Developers,https://www.udemy.com/learning-css3/,$50.00,2459,107,101,All Levels,0.96,8,2012-05-24T21:14:57Z,Web Development,2012-05-24,paid,Not free beginner,"$122,950.00"
369662,Running a Web Development Business: The Complete Guide,https://www.udemy.com/the-complete-guide-to-running-a-web-development-business/,$150.00,24575,525,98,All Levels,0.12,19.5,2015-08-26T19:25:06Z,Web Development,2015-08-26,paid,Not free beginner,"$3,686,250.00"
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,$95.00,2451,11,36,All Levels,0.87,3,2017-05-30T20:07:24Z,Business Finance,2017-05-30,paid,Not free beginner,"$232,845.00"
988678,Curso de piano 101 - Tocando partituras y acordes -,https://www.udemy.com/curso-de-piano-101-tocando-partituras-y-acordes/,$170.00,245,26,93,All Levels,0.02,4.5,2016-10-28T16:32:47Z,Musical Instruments,2016-10-28,paid,Not free beginner,"$41,650.00"
